officialId,canonicalId,subject,grade,gradeName,domainCode,domain,strand,clusterCode,parentId,sourceItem,statement,isLeaf,instructionalStatus,active
K.RF.2.c,CCSS.ELA-LITERACY.RF.K.2.c,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.2,2c,Blend and segment onsets and rimes of single-syllable spoken words.,True,assessable,True
K.RF.2.d,CCSS.ELA-LITERACY.RF.K.2.d,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.2,2d,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.1 (This does not include CVCs ending with /l/, /r/, or /x/.)",True,assessable,True
K.RF.2.e,CCSS.ELA-LITERACY.RF.K.2.e,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.2,2e,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",True,assessable,True
K.RF.3,CCSS.ELA-LITERACY.RF.K.3,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,,3,Know and apply grade-level phonics and word analysis skills in decoding words.,False,broadStandard,True
K.RF.3.a,CCSS.ELA-LITERACY.RF.K.3.a,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.3,3a,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.,True,assessable,True
K.RF.3.b,CCSS.ELA-LITERACY.RF.K.3.b,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.3,3b,Associate the long and short sounds with the common spellings (graphemes) for the five major vowels.,True,assessable,True
K.RF.3.c,CCSS.ELA-LITERACY.RF.K.3.c,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.3,3c,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",True,assessable,True
K.RF.3.d,CCSS.ELA-LITERACY.RF.K.3.d,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,K.RF.3,3d,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,True,assessable,True
K.RF.4,CCSS.ELA-LITERACY.RF.K.4,ela,K,Kindergarten,RF,Reading: Foundational Skills,Reading: Foundational Skills,,,4,Read emergent-reader texts with purpose and understanding.,True,assessable,True
K.RI.1,CCSS.ELA-LITERACY.RI.K.1,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,1,"With prompting and support, ask and answer questions about key details in a text.",True,assessable,True
K.RI.10,CCSS.ELA-LITERACY.RI.K.10,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,10,Actively engage in group reading activities with purpose and understanding.,True,assessable,True
K.RI.2,CCSS.ELA-LITERACY.RI.K.2,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,2,"With prompting and support, identify the main topic and retell key details of a text.",True,assessable,True
K.RI.3,CCSS.ELA-LITERACY.RI.K.3,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,3,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.",True,assessable,True
K.RI.4,CCSS.ELA-LITERACY.RI.K.4,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,4,"With prompting and support, ask and answer questions about unknown words in a text.",True,assessable,True
K.RI.5,CCSS.ELA-LITERACY.RI.K.5,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,5,"Identify the front cover, back cover, and title page of a book.",True,assessable,True
K.RI.6,CCSS.ELA-LITERACY.RI.K.6,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,6,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.,True,assessable,True
K.RI.7,CCSS.ELA-LITERACY.RI.K.7,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,7,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts).",True,assessable,True
K.RI.8,CCSS.ELA-LITERACY.RI.K.8,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,8,"With prompting and support, identify the reasons an author gives to support points in a text.",True,assessable,True
